add-none,2,100,400,11129106,27822,0
add-none,2,1000,4000,8323028,2080,0
add-none,2,10000,40000,9426948,235,18446744073709551353
add-none,2,100000,400000,26566882,66,0
add-none,4,100,800,38312090,47890,0
add-none,4,1000,8000,30263004,3782,0
add-none,4,10000,80000,40384369,504,5
add-none,4,100000,800000,30281349,37,7726
add-none,8,100,1600,26446962,16529,0
add-none,8,1000,16000,25870662,1616,0
add-none,8,10000,160000,31819928,198,1807
add-none,8,100000,1600000,44923780,28,18446744073709546522
add-none,12,100,2400,29954486,12481,27
add-none,12,1000,24000,74378094,3099,18446744073709551495
add-none,12,10000,240000,30404137,126,18446744073709548107
add-none,12,100000,2400000,60006232,25,50265
add-yield-none,2,10,40,82500739,2062518,0
add-yield-none,4,10,80,54422724,680284,1
add-yield-none,8,10,160,54631340,341445,0
add-yield-none,12,10,240,55146197,229775,10
add-yield-none,2,20,80,43473086,543413,0
add-yield-none,4,20,160,88160271,551001,0
add-yield-none,8,20,320,87452273,273288,1
add-yield-none,12,20,480,67188617,139976,4
add-yield-none,2,40,160,61701161,385632,0
add-yield-none,4,40,320,34308244,107213,0
add-yield-none,8,40,640,56765738,88696,27
add-yield-none,12,40,960,84254940,87765,17
add-yield-none,2,80,320,39935541,124798,0
add-yield-none,4,80,640,54158609,84622,0
add-yield-none,8,80,1280,80949970,63242,17
add-yield-none,12,80,1920,79091269,41193,71
add-yield-none,2,100,400,34908752,87271,0
add-yield-none,4,100,800,94088123,117610,33
add-yield-none,8,100,1600,57604049,36002,77
add-yield-none,12,100,2400,74368063,30986,88
add-yield-none,2,1000,4000,35284484,8821,0
add-yield-none,4,1000,8000,69466615,8683,4
add-yield-none,8,1000,16000,68296167,4268,1207
add-yield-none,12,1000,24000,71080096,2961,615
add-yield-none,2,10000,40000,104431232,2610,18446744073709550840
add-yield-none,4,10000,80000,113605521,1420,978
add-yield-none,8,10000,160000,204337923,1277,18446744073709546553
add-yield-none,12,10000,240000,192184266,800,9656
add-yield-none,2,100000,400000,422265288,1055,18446744073709521072
add-yield-none,4,100000,800000,567363839,709,18446744073709521309
add-yield-none,8,100000,1600000,1348301935,842,18446744073709456563
add-yield-none,12,100000,2400000,599431742,249,18446744073709530503
add-none,2,100,400,23982378,59955,0
add-none,2,1000,4000,25590030,6397,66
add-none,2,10000,40000,12320433,308,0
add-none,2,100000,400000,24184671,60,0
add-none,2,1000000,4000000,49884290,12,752078
add-none,8,100,1600,33245345,20778,15
add-none,8,1000,16000,15100502,943,18446744073709551008
add-none,8,10000,160000,28619280,178,18446744073709544975
add-none,8,100000,1600000,42933282,26,18446744073709308147
add-none,8,1000000,16000000,268569703,16,162770
add-yield-none,2,100,400,16892313,42230,0
add-yield-none,2,1000,4000,40109965,10027,21
add-yield-none,2,10000,40000,110862508,2771,18446744073709547409
add-yield-none,2,100000,400000,587068600,1467,11391
add-yield-none,2,1000000,4000000,3174227121,793,18446744073709425705
add-yield-none,8,100,1600,83159488,51974,27
add-yield-none,8,1000,16000,57247487,3577,755
add-yield-none,8,10000,160000,219417498,1371,1625
add-yield-none,8,100000,1600000,985482967,615,18446744073709511724
add-yield-none,8,1000000,16000000,3927148378,245,18446744073709262766
add-none,1,100,200,15070030,75350,0
add-none,1,1000,2000,25147925,12573,0
add-none,1,10000,20000,14219606,710,0
add-none,1,100000,200000,24411194,122,0
add-none,1,1000000,2000000,46215484,23,0
add-yield-m,2,10000,40000,234406387,5860,0
add-yield-m,4,10000,80000,744254620,9303,0
add-yield-m,8,10000,160000,374637233,2341,0
add-yield-m,12,10000,240000,594031210,2475,0
add-yield-c,2,10000,40000,13966452,349,0
add-yield-c,4,10000,80000,27913080,348,0
add-yield-c,8,10000,160000,179745520,1123,0
add-yield-c,12,10000,240000,272727124,1136,0
add-yield-s,2,1000,4000,12941621,3235,0
add-yield-s,4,1000,8000,16652157,2081,0
add-yield-s,8,1000,16000,36718782,2294,0
add-yield-s,12,1000,24000,56312990,2346,0
add-none,1,10000,20000,356720,17,0
add-none,2,10000,40000,1042880,26,18446744073709550722
add-none,4,10000,80000,1246750,15,18446744073709540981
add-none,8,10000,160000,2923237,18,18446744073709543904
add-none,12,10000,240000,3942619,16,18446744073709548812
add-none,16,10000,320000,5470686,17,18446744073709546554
add-none,20,10000,400000,6625465,16,18446744073709547078
add-none,24,10000,480000,7842718,16,18446744073709546343
add-none,28,10000,560000,8981480,16,18446744073709550674
add-m,1,10000,20000,911482,45,0
add-m,2,10000,40000,6428940,160,0
add-m,4,10000,80000,36144364,451,0
add-m,8,10000,160000,60913581,380,0
add-m,12,10000,240000,136959603,570,0
add-m,16,10000,320000,183865807,574,0
add-m,20,10000,400000,294283884,735,0
add-m,24,10000,480000,442434993,921,0
add-m,28,10000,560000,334328573,597,0
add-c,1,10000,20000,706676,35,0
add-c,2,10000,40000,8952899,223,0
add-c,4,10000,80000,19573038,244,0
add-c,8,10000,160000,50665539,316,0
add-c,12,10000,240000,45825171,190,0
add-c,16,10000,320000,50255884,157,0
add-c,20,10000,400000,77676337,194,0
add-c,24,10000,480000,100984777,210,0
add-c,28,10000,560000,81402818,145,0
add-s,1,10000,20000,526813,26,0
add-s,2,10000,40000,7184618,179,0
add-s,4,10000,80000,23448568,293,0
add-s,8,10000,160000,57413393,358,0
add-s,12,10000,240000,108018411,450,0
add-s,16,10000,320000,161215074,503,0
add-s,20,10000,400000,462113170,1155,0
add-s,24,10000,480000,453372823,944,0
add-s,28,10000,560000,748569854,1336,0
